Date,Crop,Market,Min,Max
13-02-2025,beans,Peliyagoda,300,400
13-02-2025,beans,Kandy,300,350
13-02-2025,beans,Dambulla,300,350
13-02-2025,beans,Thambuththegama,350,380
13-02-2025,beans,Keppetipola,250,280
13-02-2025,beans,Nuwaraeliya,280,300
13-02-2025,beans,Bandarawela,280,310
13-02-2025,carrot,Peliyagoda,650,750
13-02-2025,carrot,Kandy,700,750
13-02-2025,carrot,Dambulla,550,700
13-02-2025,carrot,Thambuththegama,730,760
13-02-2025,carrot,Keppetipola,540,560
13-02-2025,carrot,Nuwaraeliya,660,670
13-02-2025,carrot,Bandarawela,550,600
13-02-2025,beetroot,Peliyagoda,320,450
13-02-2025,beetroot,Kandy,250,380
13-02-2025,beetroot,Dambulla,200,300
13-02-2025,beetroot,Norochchole,280,300
13-02-2025,beetroot,Thambuththegama,300,340
13-02-2025,beetroot,Keppetipola,300,320
13-02-2025,beetroot,Nuwaraeliya,290,310
13-02-2025,beetroot,Bandarawela,340,360
13-02-2025,cabbage,Kandy,280,330
13-02-2025,cabbage,Keppetipola,240,250
13-02-2025,cabbage,Nuwaraeliya,310,320
13-02-2025,cabbage,Bandarawela,250,270
13-02-2025,cabbage,Peliyagoda,250,320
13-02-2025,cabbage,Dambulla,250,280
13-02-2025,cabbage,Norochchole,250,280
13-02-2025,cabbage,Thambuththegama,280,300
13-02-2025,tomato,Peliyagoda,150,160
13-02-2025,tomato,Kandy,120,130
13-02-2025,tomato,Dambulla,110,130
13-02-2025,tomato,Norochchole,90,110
13-02-2025,tomato,Thambuththegama,100,120
13-02-2025,tomato,Keppetipola,80,120
13-02-2025,tomato,Nuwaraeliya,100,130
13-02-2025,tomato,Bandarawela,100,120
