Date,Crop,Market,Price
01-02-2025,beans,Peliyagoda,525.0
01-02-2025,beans,Kandy,575.0
01-02-2025,beans,Dambulla,500.0
01-02-2025,beans,Meegoda,555.0
01-02-2025,beans,Thambuththegama,575.0
01-02-2025,beans,Keppetipola,525.0
01-02-2025,beans,Nuwaraeliya,545.0
01-02-2025,beans,Bandarawela,555.0
01-02-2025,beans,Veyangoda,575.0
01-02-2025,carrot,Peliyagoda,440.0
01-02-2025,carrot,Kandy,465.0
01-02-2025,carrot,Dambulla,465.0
01-02-2025,carrot,Meegoda,500.0
01-02-2025,carrot,Thambuththegama,590.0
01-02-2025,carrot,Keppetipola,385.0
01-02-2025,carrot,Nuwaraeliya,535.0
01-02-2025,carrot,Bandarawela,475.0
01-02-2025,carrot,Veyangoda,480.0
01-02-2025,beetroot,Peliyagoda,425.0
01-02-2025,beetroot,Kandy,355.0
01-02-2025,beetroot,Dambulla,345.0
01-02-2025,beetroot,Meegoda,375.0
01-02-2025,beetroot,Norochchole,390.0
01-02-2025,beetroot,Thambuththegama,400.0
01-02-2025,beetroot,Veyangoda,375.0
01-02-2025,beetroot,Kandy,410.0
01-02-2025,beetroot,Dambulla,390.0
01-02-2025,beetroot,Keppetipola,340.0
01-02-2025,beetroot,Nuwaraeliya,300.0
01-02-2025,beetroot,Bandarawela,345.0
01-02-2025,cabbage,Kandy,295.0
01-02-2025,cabbage,Meegoda,240.0
01-02-2025,cabbage,Keppetipola,185.0
01-02-2025,cabbage,Nuwaraeliya,245.0
01-02-2025,cabbage,Bandarawela,185.0
01-02-2025,cabbage,Veyangoda,255.0
01-02-2025,cabbage,Peliyagoda,200.0
01-02-2025,cabbage,Kandy,265.0
01-02-2025,cabbage,Dambulla,240.0
01-02-2025,cabbage,Norochchole,225.0
01-02-2025,cabbage,Thambuththegama,275.0
01-02-2025,cabbage,Veyangoda,215.0
01-02-2025,tomato,Peliyagoda,225.0
01-02-2025,tomato,Kandy,125.0
01-02-2025,tomato,Dambulla,135.0
01-02-2025,tomato,Meegoda,175.0
01-02-2025,tomato,Norochchole,140.0
01-02-2025,tomato,Thambuththegama,115.0
01-02-2025,tomato,Keppetipola,115.0
01-02-2025,tomato,Nuwaraeliya,130.0
01-02-2025,tomato,Bandarawela,155.0
01-02-2025,tomato,Veyangoda,135.0
01-02-2025,beans,Peliyagoda,315.0
01-02-2025,beans,Kandy,325.0
01-02-2025,beans,Dambulla,285.0
01-02-2025,beans,Meegoda,290.0
01-02-2025,beans,Norochchole,275.0
01-02-2025,beans,Thambuththegama,355.0
01-02-2025,beans,Bandarawela,325.0
01-02-2025,beans,Veyangoda,285.0
01-03-2025,beans,Peliyagoda,175.0
01-03-2025,beans,Kandy,165.0
01-03-2025,beans,Dambulla,130.0
01-03-2025,beans,Meegoda,145.0
01-03-2025,beans,Thambuththegama,175.0
01-03-2025,beans,Keppetipola,130.0
01-03-2025,beans,Nuwaraeliya,145.0
01-03-2025,beans,Bandarawela,140.0
01-03-2025,beans,Veyangoda,140.0
01-03-2025,carrot,Peliyagoda,750.0
01-03-2025,carrot,Kandy,725.0
01-03-2025,carrot,Dambulla,675.0
01-03-2025,carrot,Meegoda,670.0
01-03-2025,carrot,Thambuththegama,725.0
01-03-2025,carrot,Keppetipola,665.0
01-03-2025,carrot,Nuwaraeliya,815.0
01-03-2025,carrot,Bandarawela,710.0
01-03-2025,carrot,Veyangoda,655.0
01-03-2025,beetroot,Peliyagoda,175.0
01-03-2025,beetroot,Kandy,130.0
01-03-2025,beetroot,Dambulla,120.0
01-03-2025,beetroot,Meegoda,155.0
01-03-2025,beetroot,Norochchole,115.0
01-03-2025,beetroot,Thambuththegama,135.0
01-03-2025,beetroot,Veyangoda,160.0
01-03-2025,beetroot,Kandy,190.0
01-03-2025,beetroot,Dambulla,165.0
01-03-2025,beetroot,Keppetipola,190.0
01-03-2025,beetroot,Nuwaraeliya,195.0
01-03-2025,beetroot,Bandarawela,175.0
01-03-2025,cabbage,Kandy,310.0
01-03-2025,cabbage,Meegoda,320.0
01-03-2025,cabbage,Keppetipola,280.0
01-03-2025,cabbage,Nuwaraeliya,310.0
01-03-2025,cabbage,Bandarawela,270.0
01-03-2025,cabbage,Veyangoda,330.0
01-03-2025,cabbage,Peliyagoda,290.0
01-03-2025,cabbage,Kandy,285.0
01-03-2025,cabbage,Dambulla,290.0
01-03-2025,cabbage,Norochchole,285.0
01-03-2025,cabbage,Thambuththegama,325.0
01-03-2025,cabbage,Veyangoda,290.0
01-03-2025,tomato,Peliyagoda,155.0
01-03-2025,tomato,Kandy,140.0
01-03-2025,tomato,Dambulla,105.0
01-03-2025,tomato,Meegoda,105.0
01-03-2025,tomato,Norochchole,85.0
01-03-2025,tomato,Thambuththegama,90.0
01-03-2025,tomato,Keppetipola,155.0
01-03-2025,tomato,Nuwaraeliya,170.0
01-03-2025,tomato,Bandarawela,135.0
01-03-2025,tomato,Veyangoda,115.0
01-03-2025,beans,Peliyagoda,135.0
01-03-2025,beans,Kandy,140.0
01-03-2025,beans,Dambulla,90.0
